Year,Region,"Average age, both sexes","Average age, men","Average age, women",Citizens of foreign countries,Demographic dependency ratio,Economic dependency ratio,Finnish speakers,Foreign-language speakers,"Land area, km²",Persons born abroad,Persons with foreign background,Population 31 Dec,Sami speakers,"Share of persons aged 15 to 64, %","Share of persons aged 65 or over, %","Share of persons aged under 15, %",Swedish speakers
1990,Central Finland,37.458213868994534,35.63757420277443,39.190387327678664,801.0,55.20454545454545,151.51363636363638,253454.0,734.0,16346.34,2601.0,1147.0,254539.0,6.0,66.47669158753669,13.636133951968068,19.887536683965916,345.0
1990,Central Ostrobothnia,35.526314246342395,33.97501685870935,37.02095610871669,153.0,63.3625,150.9,60900.0,93.0,5058.14,918.0,239.0,68214.0,0.0,64.4425367226669,12.39330782537309,23.238512622042396,7221.0
1990,Kainuu,36.548958998042366,35.27399928617008,37.86064093273775,153.0,51.525,162.075,92266.0,144.0,20247.82,661.0,284.0,92459.0,6.0,67.12396197233369,11.982056911712219,20.9003569149569,43.0
1990,Kanta-Häme,38.792422710911694,36.600107243232586,40.814659040481246,465.0,53.43636363636363,118.05454545454545,161276.0,478.0,5203.7300000000005,1345.0,772.0,162248.0,3.0,66.16540974310932,15.479096198412307,18.362116019920126,491.0
1990,Kymenlaakso,39.21643283341397,37.14289093157018,41.2399414072999,576.0,53.63333333333333,132.29999999999998,183568.0,625.0,4518.42,1433.0,988.0,186030.0,2.0,67.3233532225985,15.134706767725636,17.532047519217326,1835.0
1990,Lapland,35.905587669553604,34.77079791103979,37.014657603874944,763.0,49.61428571428572,146.35238095238097,198370.0,422.0,93056.61,4055.0,1165.0,200674.0,1624.0,67.50923687174225,11.251772526585409,21.238090634561527,258.0
1990,North Karelia,38.07295005488474,36.25657189901207,39.817811745334794,375.0,54.97692307692308,156.19230769230768,181676.0,396.0,18828.91,1112.0,655.0,182200.0,4.0,65.882392974753,14.521287047200879,19.579290889132817,124.0
1990,North Ostrobothnia,34.58833748100764,33.159048914050494,36.00714654260702,1041.0,60.29,157.51000000000002,349567.0,780.0,36848.0,4650.0,1402.0,350799.0,26.0,65.1091476885624,11.096794460645556,23.793768511312745,426.0
1990,North Savo,37.7526705402958,35.83289503471174,39.595814971325076,531.0,55.36842105263158,154.64736842105265,264284.0,503.0,17385.62,1537.0,802.0,265040.0,2.0,66.27730229399336,14.084130319951704,19.63150392393601,251.0
1990,Ostrobothnia,38.04277778821526,36.13005742699507,39.87077235237756,1472.0,61.107692307692304,132.3,72702.0,620.0,6545.85,3642.0,1470.0,159681.0,5.0,64.229977893425,15.620039954659603,20.125234060407937,86354.0
1990,Pirkanmaa,38.579491049597,36.37762666288943,40.61193054236493,1531.0,54.426086956521736,132.30434782608697,427523.0,1547.0,13007.49,4225.0,2342.0,430651.0,10.0,67.16913510011587,14.709020297177995,18.118509883873486,1571.0
1990,Päijät-Häme,38.157927974973276,36.07009726648479,40.0621422052601,720.0,52.15,124.04,203650.0,703.0,5720.65,1984.0,1083.0,204901.0,6.0,67.81001898477801,13.873672651670807,18.313700762807404,542.0
1990,Satakunta,38.45910282128276,36.47494029745366,40.30896223476495,551.0,54.2375,131.94375,239472.0,477.0,7790.22,1924.0,935.0,240777.0,1.0,66.75347313073924,14.557667052916184,18.69279831545372,827.0
1990,South Karelia,39.23753814779955,37.17668563361,41.20286999800348,421.0,53.52222222222222,131.88888888888889,139560.0,496.0,5391.889999999999,1118.0,762.0,140244.0,0.0,67.25064387781295,15.112745643307381,17.63437081087248,188.0
1990,South Ostrobothnia,37.8389425631612,35.8876720931356,39.75726583256848,395.0,59.87777777777777,145.07777777777778,206279.0,240.0,13811.81,1914.0,651.0,207010.0,3.0,63.79581034732623,15.513670354089173,20.69813583884837,488.0
1990,South Savo,39.093743500018356,37.09855318055572,40.994141757717394,317.0,54.690909090909095,146.5090909090909,162996.0,308.0,12418.08,894.0,540.0,163462.0,1.0,66.29049748565416,15.451415007769388,18.233706304829262,157.0
1990,Southwest Finland,38.73876698284902,36.69222586425007,40.642638531609606,2138.0,55.74074074074074,116.8,396771.0,1931.0,10624.24,5376.0,3273.0,425282.0,2.0,66.60856561058309,15.25381652644598,18.143920269374203,26578.0
1990,Uusimaa,36.49189446285572,34.55802889660048,38.14941516411046,12702.0,48.62,101.292,1070270.0,13907.0,7968.2,23315.0,17850.0,1203671.0,33.0,70.2406928471318,11.154242895276202,18.601684430380065,119461.0
1990,Åland,38.68302308567713,37.02781661518453,40.269013168590476,843.0,62.64375,108.66875,1128.0,233.0,1526.5,1518.0,918.0,24604.0,0.0,65.21389611445294,16.5427735327589,18.249004226954966,23243.0
1991,Central Finland,37.591732688708674,35.8274832345602,39.31479608546476,1115.0,56.154545454545456,171.48181818181817,255123.0,1005.0,16346.34,2970.0,1431.0,256480.0,1.0,66.32265907673111,13.83527721459763,19.83703329694323,351.0
1991,Central Ostrobothnia,35.72009401048129,34.22867757616455,37.221311475409834,243.0,63.125,169.9125,61134.0,164.0,5058.14,1024.0,324.0,68503.0,0.0,64.58554661839626,12.541773352991841,22.87428287812213,7205.0
1991,Kainuu,36.87009328560581,35.61108688577937,38.1565278229743,215.0,52.425,182.65,91952.0,189.0,20247.82,687.0,323.0,92190.0,6.0,66.94647141772425,12.483598004121921,20.565016813103377,43.0
1991,Kanta-Häme,38.8599007599026,36.675777951811654,40.886152886039085,837.0,53.58181818181818,132.65454545454546,162108.0,843.0,5203.7300000000005,1707.0,1154.0,163442.0,3.0,65.99553970215734,15.59216419280234,18.370010156508123,488.0
