Year,Province,"Average age, both sexes","Average age, men","Average age, women",Citizens of foreign countries,Demographic dependency ratio,Economic dependency ratio,Finnish speakers,Foreign-language speakers,"Land area, km²",Persons born abroad,Persons with foreign background,Population 31 Dec,Sami speakers,"Share of persons aged 15 to 64, %","Share of persons aged 65 or over, %","Share of persons aged under 15, %",Swedish speakers,Region,"Annual change, %","Annual change, % (real price index)",Average area m2,Index,Lower quartile,Medianprice,Number,Price per square meter (EUR/m2),Real price index,Upper quartile
2018,Western Finland,43.6144568089863,42.19023078092432,44.99533598545456,78435.0,76.31219512195122,149.2408536585366,2066105.0,114042.0,85677.69,122483.0,119539.0,2328702.0,126.0,60.81662741733378,23.411864892974712,15.777423603363587,148429.0,Western Finland,0.9,0.2,2785.0,97.9,2.6,12.3,250.0,15.5,95.8,32.3
2019,Eastern Finland,46.149919310966766,44.802262213800375,47.47708760054182,12139.0,83.92325581395349,185.58837209302325,528548.0,18617.0,48412.43,19161.0,18998.0,547782.0,15.0,59.10295792851901,27.04068278986896,13.861137094683652,602.0,Eastern Finland,-5.9,-7.1,4586.0,89.4,1.9,4.5,57.0,4.0,86.3,12.1
2019,Northern Finland,42.533313905996856,41.40815933033066,43.66997087409425,14253.0,80.5542372881356,173.17627118644066,639762.0,19480.0,149700.57,25339.0,20403.0,662297.0,1716.0,60.37045147418756,22.126002684596184,17.49741052730119,1339.0,Northern Finland,17.9,16.3,3070.0,106.0,3.3,10.6,105.0,11.1,102.3,29.3
2019,Southern Finland,41.60964734993107,40.22704377093351,42.93712122685098,159234.0,69.2,140.2425,1585964.0,253799.0,17835.19,230939.0,257650.0,1954402.0,141.0,65.02994834225507,18.99258049265197,15.976116837784652,114498.0,Southern Finland,-1.6,-2.9,2294.0,103.9,13.4,46.2,388.0,43.5,100.3,96.8
2019,Western Finland,43.879747285343825,42.473194978197654,45.25593528318121,80686.0,77.91524390243903,151.31036585365854,2059157.0,119049.0,85679.57,126584.0,124513.0,2326814.0,131.0,60.566188788618256,23.910059291374388,15.537699446539346,148477.0,Western Finland,-8.4,-9.6,3029.0,89.7,4.0,13.8,241.0,16.7,86.6,35.0
2020,Eastern Finland,46.4364746631797,45.12765213845996,47.729837246374686,12393.0,86.16976744186047,191.13023255813954,524660.0,19205.0,48412.590000000004,19697.0,19585.0,544504.0,14.0,58.6274896052187,27.73903644417672,13.649921212699999,625.0,Eastern Finland,17.4,17.2,4195.0,105.0,2.3,6.0,105.0,6.9,101.2,23.0
2020,Northern Finland,42.77220214480207,41.67981572401794,43.877622897219545,14745.0,82.11864406779661,178.02203389830507,638821.0,20245.0,149699.4,25986.0,21174.0,662159.0,1724.0,60.09647426071381,22.700281503385142,17.20125000188776,1369.0,Northern Finland,25.4,25.2,2874.0,132.9,2.4,12.5,168.0,17.8,128.1,48.2
2020,Southern Finland,41.795273917072926,40.44423601812423,43.1393516560528,166808.0,69.9475,148.45499999999998,1583207.0,267228.0,17835.84,241664.0,271191.0,1964883.0,138.0,64.89026115040946,19.271041787220916,15.819437340543942,114310.0,Southern Finland,10.6,10.3,2468.0,114.9,9.5,44.9,576.0,42.1,110.7,108.3
2020,Western Finland,44.126934958989935,42.725220898574996,45.49574304512546,83651.0,79.28780487804879,157.93109756097562,2055094.0,124433.0,85682.43000000001,131231.0,130112.0,2328331.0,131.0,60.36501025842116,24.326009489200633,15.306243012698797,148673.0,Western Finland,13.6,13.4,2799.0,101.9,3.8,10.9,355.0,14.3,98.2,29.1
2021,Eastern Finland,46.657866829121055,45.32908258670574,47.9225155153755,13207.0,88.61162790697675,183.66744186046512,522302.0,20374.0,48414.62,20761.0,20739.0,543332.0,11.0,58.228231909771566,28.311966348383677,13.42436318862132,645.0,Eastern Finland,-24.0,-26.6,5064.0,79.8,2.3,4.8,81.0,6.6,74.3,12.9
